zeit,index_wert,index_name
01-01-26,10125.00,DAX
01-02-26,10113.00,DAX
01-03-26,10202.00,DAX
01-04-26,10740.00,DAX
01-05-26,10629.00,DAX
01-06-26,10524.00,DAX
01-07-26,11425.00,DAX
01-08-26,12045.00,DAX
01-09-26,11652.00,DAX
01-10-26,12107.00,DAX
01-11-26,11716.00,DAX
01-12-26,11360.00,DAX
01-13-26,11536.00,DAX
01-14-26,10453.00,DAX
01-15-26,10103.00,DAX
01-16-26,10117.00,DAX
01-17-26,10302.00,DAX
01-18-26,10223.00,DAX
01-19-26,10504.00,DAX
01-20-26,11276.00,DAX
01-21-26,10484.00,DAX
01-22-26,10580.00,DAX
01-23-26,10549.00,DAX
01-24-26,11353.00,DAX
01-25-26,11773.00,DAX
01-26-26,11684.00,DAX
01-27-26,12732.00,DAX
01-28-26,12356.00,DAX
01-29-26,12962.00,DAX
01-30-26,13281.00,DAX
01-31-26,14006.00,DAX
02-01-26,12027.00,DAX
02-02-26,12045.00,DAX
02-03-26,13092.00,DAX
02-04-26,12253.00,DAX
02-05-26,13534.00,DAX
02-06-26,13292.00,DAX
02-07-26,15891.00,DAX
02-08-26,18092.00,DAX
02-09-26,17756.00,DAX
02-10-26,16516.00,DAX
02-11-26,16247.00,DAX
02-12-26,16420.00,DAX
02-13-26,16906.00,DAX
02-14-26,19567.00,DAX
02-15-26,21020.00,DAX
02-16-26,22003.00,DAX
02-17-26,19802.00,DAX
02-18-26,19144.00,DAX
02-19-26,22801.00,DAX
01-01-26,10110.00,S&P 500
01-02-26,10100.00,S&P 500
01-03-26,10155.00,S&P 500
01-04-26,10102.00,S&P 500
01-05-26,10181.00,S&P 500
01-06-26,10439.00,S&P 500
01-07-26,10200.00,S&P 500
01-08-26,10148.00,S&P 500
01-09-26,10204.00,S&P 500
01-10-26,10496.00,S&P 500
01-11-26,10331.00,S&P 500
01-12-26,10277.00,S&P 500
01-13-26,10105.00,S&P 500
01-14-26,10194.00,S&P 500
01-15-26,10103.00,S&P 500
01-16-26,10244.00,S&P 500
01-17-26,10225.00,S&P 500
01-18-26,10554.00,S&P 500
01-19-26,10720.00,S&P 500
01-20-26,10439.00,S&P 500
01-21-26,10588.00,S&P 500
01-22-26,11499.00,S&P 500
01-23-26,11476.00,S&P 500
01-24-26,12877.00,S&P 500
01-25-26,10802.00,S&P 500
01-26-26,11304.00,S&P 500
01-27-26,11367.00,S&P 500
01-28-26,11163.00,S&P 500
01-29-26,10022.00,S&P 500
01-30-26,9888.00,S&P 500
01-31-26,9232.00,S&P 500
02-01-26,10325.00,S&P 500
02-02-26,10988.00,S&P 500
02-03-26,10705.00,S&P 500
02-04-26,10376.00,S&P 500
02-05-26,10232.00,S&P 500
02-06-26,10028.00,S&P 500
02-07-26,10676.00,S&P 500
02-08-26,10450.00,S&P 500
02-09-26,10666.00,S&P 500
02-10-26,10715.00,S&P 500
02-11-26,11290.00,S&P 500
02-12-26,10851.00,S&P 500
02-13-26,10686.00,S&P 500
02-14-26,10108.00,S&P 500
02-15-26,10131.00,S&P 500
02-16-26,10174.00,S&P 500
02-17-26,10225.00,S&P 500
02-18-26,10225.00,S&P 500
02-19-26,10179.00,S&P 500
01-01-26,10302.00,FSTE China 50
01-02-26,10439.00,FSTE China 50
01-03-26,10575.00,FSTE China 50
01-04-26,10988.00,FSTE China 50
01-05-26,11086.00,FSTE China 50
01-06-26,10851.00,FSTE China 50
01-07-26,10172.00,FSTE China 50
01-08-26,10146.00,FSTE China 50
01-09-26,10118.00,FSTE China 50
01-10-26,10124.00,FSTE China 50
01-11-26,10681.00,FSTE China 50
01-12-26,10695.00,FSTE China 50
01-13-26,10666.00,FSTE China 50
01-14-26,10101.00,FSTE China 50
01-15-26,10101.00,FSTE China 50
01-16-26,10104.00,FSTE China 50
01-17-26,10103.00,FSTE China 50
01-18-26,10202.00,FSTE China 50
01-19-26,10102.00,FSTE China 50
01-20-26,10177.00,FSTE China 50
01-21-26,10382.00,FSTE China 50
01-22-26,10159.00,FSTE China 50
01-23-26,10571.00,FSTE China 50
01-24-26,10159.00,FSTE China 50
01-25-26,10282.00,FSTE China 50
01-26-26,11353.00,FSTE China 50
01-27-26,10750.00,FSTE China 50
01-28-26,10496.00,FSTE China 50
01-29-26,10537.00,FSTE China 50
01-30-26,10350.00,FSTE China 50
01-31-26,10100.00,FSTE China 50
02-01-26,10101.00,FSTE China 50
02-02-26,10192.00,FSTE China 50
02-03-26,10124.00,FSTE China 50
02-04-26,10299.00,FSTE China 50
02-05-26,10102.00,FSTE China 50
02-06-26,10141.00,FSTE China 50
02-07-26,10192.00,FSTE China 50
02-08-26,10102.00,FSTE China 50
02-09-26,10290.00,FSTE China 50
02-10-26,10232.00,FSTE China 50
02-11-26,10103.00,FSTE China 50
02-12-26,10310.00,FSTE China 50
02-13-26,10261.00,FSTE China 50
02-14-26,10202.00,FSTE China 50
02-15-26,10105.00,FSTE China 50
02-16-26,10313.00,FSTE China 50
02-17-26,10873.00,FSTE China 50
02-18-26,10611.00,FSTE China 50
02-19-26,10484.00,FSTE China 50
